time,mse_pose,mse_landmarks
10.27626,0.1317181,0.2782928
10.28087,0.1312037,0.2782928
10.28539,0.1306535,0.2782928
10.28982,0.1301128,0.2782928
10.29437,0.1296044,0.2782928
10.29889,0.1290699,0.2782928
10.30324,0.1285303,0.2782928
10.30763,0.1280267,0.2782928
10.31219,0.127524,0.2782928
10.31687,0.117123,0.2798519
10.32245,0.1163678,0.2798519
10.32707,0.1156501,0.2798519
10.33157,0.1149949,0.2798519
10.33599,0.1143571,0.2798519
10.34059,0.1136982,0.2798519
10.3456,0.1129841,0.2798519
10.35128,0.112179,0.2798519
10.35599,0.1115139,0.2798519
10.36057,0.1108683,0.2798519
10.36509,0.1102315,0.2798519
10.37059,0.1094212,0.2798519
10.37518,0.1088182,0.2798519
10.37986,0.1081586,0.2798519
10.38449,0.1066612,0.2819347
10.39,0.1059862,0.2819347
10.39467,0.1054219,0.2819347
10.39937,0.104847,0.2819347
10.40389,0.1043041,0.2819347
10.40846,0.1037477,0.2819347
10.41308,0.1031851,0.2819347
10.41769,0.1026304,0.2819347
10.42204,0.1021266,0.2819347
10.42667,0.1015485,0.2819347
10.43119,0.1010187,0.2819347
10.43565,0.1004919,0.2819347
10.44083,0.09980565,0.2819347
10.4454,0.09933104,0.2819347
10.45007,0.1006138,0.2810598
10.4556,0.09975103,0.2810598
10.46007,0.09938489,0.2810598
10.46468,0.09877259,0.2810598
10.46919,0.09822747,0.2810598
10.47361,0.09769049,0.2810598
10.47817,0.09708375,0.2810598
10.48279,0.09649643,0.2810598
10.48735,0.09594367,0.2810598
10.49177,0.09543016,0.2810598
10.49629,0.09484698,0.2810598
10.50106,0.09419433,0.2810598
10.5057,0.09366059,0.2810598
10.51029,0.09311683,0.2810598
10.51488,0.09635673,0.2861215
10.5204,0.09548438,0.2861215
10.525,0.09518691,0.2861215
10.52957,0.09467092,0.2861215
10.5342,0.09411694,0.2861215
10.53878,0.09360747,0.2861215
10.54338,0.09307916,0.2861215
10.54799,0.09254785,0.2861215
10.55255,0.09205107,0.2861215
10.557,0.09158129,0.2861215
10.5616,0.09101863,0.2861215
10.56628,0.09046361,0.2861215
10.5712,0.08983082,0.2861215
10.57571,0.08947945,0.2861215
10.58028,0.07836536,0.2960072
10.58589,0.07731983,0.2960072
10.59041,0.07729977,0.2960072
10.59507,0.07674038,0.2960072
10.59987,0.07616205,0.2960072
10.60507,0.0754341,0.2960072
10.61414,0.07283726,0.2960072
10.61887,0.07426238,0.2960072
10.62347,0.07384768,0.2960072
10.62846,0.07314293,0.2960072
10.63379,0.0724284,0.2960072
10.6385,0.07226062,0.2960072
10.64306,0.07187479,0.2960072
10.64756,0.07133929,0.2924548
10.65299,0.07039313,0.2924548
10.65749,0.07049273,0.2924548
10.66218,0.06998347,0.2924548
10.66689,0.06958236,0.2924548
10.67232,0.06872766,0.2924548
10.67689,0.06881423,0.2924548
10.68157,0.06836507,0.2924548
10.68617,0.06802948,0.2924548
10.69065,0.06771955,0.2924548
10.69526,0.06727224,0.2924548
10.70126,0.06597564,0.2924548
10.70632,0.06611344,0.2924548
10.71086,0.06605572,0.2924548
10.716,0.06893808,0.2869927
10.72176,0.06807445,0.2869927
10.72631,0.06862438,0.2869927
10.73116,0.06806035,0.2869927
10.73545,0.06817121,0.2869927
10.73976,0.06784838,0.2869927
10.74417,0.06747203,0.2869927
10.74877,0.06699373,0.2869927
10.75329,0.06675113,0.2869927
10.75768,0.06653915,0.2869927
10.76247,0.06590732,0.2869927
10.76699,0.06581092,0.2869927
10.77172,0.06532383,0.2869927
10.77636,0.06507698,0.2869927
10.78683,0.0621812,0.2795655
10.79664,0.06195001,0.2795655
10.80491,0.06246315,0.2795655
10.81297,0.06206387,0.2795655
10.82122,0.06137156,0.2795655
10.8303,0.06015412,0.2795655
10.83923,0.05967376,0.2795655
10.84827,0.06279249,0.2796221
10.87446,0.04939045,0.2796221
10.88043,0.06401781,0.2796221
10.88621,0.06384795,0.2796221
10.8919,0.06358136,0.2796221
10.89762,0.06321762,0.2796221
10.90318,0.06304652,0.2796221
10.90903,0.06242253,0.2796221
10.91489,0.05797274,0.2753859
10.92168,0.05672263,0.2753859
10.92669,0.05796495,0.2753859
10.93126,0.0580553,0.2753859
10.9358,0.05779637,0.2753859
10.94036,0.05749156,0.2753859
10.94487,0.05725392,0.2753859
10.94961,0.05674539,0.2753859
10.95409,0.05670829,0.2753859
10.95879,0.05622393,0.2753859
10.96364,0.05577617,0.2753859
10.96827,0.05571811,0.2753859
10.97282,0.05551616,0.2753859
10.97737,0.05524396,0.2753859
10.98198,0.04879749,0.2767512
10.98737,0.04775424,0.2767512
10.99187,0.04826742,0.2767512
10.99641,0.04794328,0.2767512
11.00098,0.04763212,0.2767512
11.00542,0.04748455,0.2767512
11.01007,0.04700385,0.2767512
11.01459,0.04685678,0.2767512
11.01906,0.04663856,0.2767512
11.02352,0.04639299,0.2767512
11.0281,0.04601339,0.2767512
11.03287,0.04556395,0.2767512
11.03788,0.04506267,0.2767512
11.0424,0.04526899,0.2767512
11.04699,0.05094799,0.2733342
11.05236,0.04986727,0.2733342
11.0569,0.0505584,0.2733342
11.06136,0.05044738,0.2733342
11.06596,0.05009426,0.2733342
11.07049,0.04997757,0.2733342
11.07498,0.04982745,0.2733342
11.07946,0.04965826,0.2733342
11.08409,0.04929847,0.2733342
11.08856,0.04929753,0.2733342
11.09327,0.04884532,0.2733342
11.098,0.04864084,0.2733342
11.10245,0.04877684,0.2733342
11.10692,0.04859262,0.2733342
11.1116,0.04817352,0.2733342
11.11625,0.04805299,0.2734743
11.12168,0.04697967,0.2734743
11.12626,0.04780982,0.2734743
11.13088,0.04760509,0.2734743
11.1357,0.04721127,0.2734743
11.14026,0.04738151,0.2734743
11.14491,0.04714132,0.2734743
11.14963,0.04691297,0.2734743
11.15413,0.04703464,0.2734743
11.15866,0.04688071,0.2734743
11.16319,0.04675825,0.2734743
11.16776,0.04659072,0.2734743
11.17233,0.04645997,0.2734743
11.17689,0.04636078,0.2734743
11.18146,0.05303833,0.2742298
11.18699,0.0517001,0.2742298
11.19156,0.05286946,0.2742298
11.19609,0.05282249,0.2742298
11.20125,0.05194206,0.2742298
11.20566,0.05284573,0.2742298
11.21016,0.05265862,0.2742298
11.21481,0.05239619,0.2742298
11.21936,0.0524648,0.2742298
11.22383,0.05251095,0.2742298
11.22849,0.0521953,0.2742298
11.23306,0.05227529,0.2742298
11.23782,0.05196622,0.2742298
11.24238,0.05217053,0.2742298
11.24688,0.04511416,0.2749707
11.25258,0.04361279,0.2749707
11.25713,0.04495897,0.2749707
11.26165,0.04495049,0.2749707
11.26629,0.04476913,0.2749707
11.27119,0.0444282,0.2749707
11.27566,0.04491317,0.2749707
11.28031,0.04466641,0.2749707
11.28486,0.04476589,0.2749707
11.28934,0.04482049,0.2749707
11.294,0.04458536,0.2749707
11.29857,0.0446855,0.2749707
11.30298,0.04486055,0.2749707
11.30749,0.04472565,0.2749707
11.31206,0.04463675,0.2749707
11.31667,0.03636237,0.2735032
11.32214,0.03542651,0.2735032
11.32677,0.03634012,0.2735032
11.33126,0.03651444,0.2735032
11.3358,0.03646358,0.2735032
11.34022,0.0366079,0.2735032
11.34466,0.0366041,0.2735032
11.34932,0.03636848,0.2735032
11.35375,0.03665331,0.2735032
11.35819,0.03665665,0.2735032
11.3637,0.03550349,0.2735032
11.36907,0.0357002,0.2735032
11.37351,0.03674619,0.2735032
11.37799,0.0367354,0.2735032
11.3831,0.03302417,0.2779014
11.3889,0.03231899,0.2779014
11.39347,0.03362589,0.2779014
11.39807,0.03361208,0.2779014
11.4027,0.03361452,0.2779014
11.40728,0.03369276,0.2779014
11.41197,0.03360622,0.2779014
11.41648,0.03381772,0.2779014
11.42114,0.03370449,0.2779014
11.42567,0.03387125,0.2779014
11.4302,0.03391435,0.2779014
11.43477,0.03391459,0.2779014
11.43919,0.0341066,0.2779014
11.4437,0.03406958,0.2779014
11.44837,0.03433065,0.2771688
11.45393,0.03345142,0.2771688
11.4585,0.0345552,0.2771688
11.46317,0.03449456,0.2771688
11.46791,0.03448165,0.2771688
11.47252,0.03467515,0.2771688
