t,kalman_gain
653,0.09467011
654,0.06816
655,0.09207702
656,0.07625943
657,0.06144067
658,0.05853803
659,0.07510387
660,0.1048132
661,0.1248024
662,0.09277357
663,0.091981
664,0.06712379
665,0.09143375
666,0.07545882
667,0.0612983
668,0.05830599
669,0.07702961
670,0.11096
671,0.1311959
672,0.09575561
673,0.09313712
674,0.06960553
675,0.09296015
676,0.07214195
677,0.06375999
678,0.06030265
679,0.08120729
680,0.1130927
681,0.1289433
682,0.09485047
683,0.09343889
684,0.07268611
685,0.0962057
686,0.07356743
687,0.06482297
688,0.06161417
689,0.08528399
690,0.1175674
691,0.1295882
692,0.09317833
693,0.09056013
694,0.07299368
695,0.09282676
696,0.07382894
697,0.06513393
698,0.06171763
699,0.08239434
700,0.1185286
701,0.1220709
702,0.08726984
703,0.08561911
704,0.0699764
705,0.08945557
706,0.07301512
707,0.06694809
708,0.06417141
709,0.08387162
710,0.1180211
711,0.116715
712,0.08159948
713,0.08137609
714,0.06653628
715,0.08511867
716,0.07382989
717,0.06431599
718,0.061264
719,0.07695248
720,0.1124491
721,0.09723414
722,0.07655509
723,0.07881992
724,0.06968323
725,0.08924283
726,0.0751646
727,0.06469786
728,0.06150175
729,0.07680071
730,0.1134866
731,0.08427035
732,0.07390754
733,0.07531734
734,0.06474197
735,0.08235316
736,0.07277445
737,0.06840271
738,0.06502721
739,0.08704805
740,0.1185581
741,0.09189223
742,0.0736305
743,0.07897549
744,0.06673098
745,0.08285646
746,0.07171483
747,0.0694561
748,0.06604201
749,0.0882318
750,0.1225642
751,0.09445444
752,0.07366332
753,0.07976957
754,0.06904756
755,0.0842833
756,0.07342324
757,0.07001004
758,0.06679642
759,0.09002195
760,0.1157149
761,0.0856128
762,0.06978242
763,0.07401843
764,0.06583826
765,0.07942839
766,0.07030656
767,0.07039858
768,0.06659639
769,0.09157954
770,0.111688
771,0.08577381
772,0.06991838
773,0.07471199
774,0.06760718
775,0.07956581
776,0.07114217
777,0.07166056
778,0.06820359
779,0.09746564
780,0.1151706
781,0.09266764
782,0.07610255
783,0.0827858
784,0.07334945
785,0.08507488
786,0.07603681
787,0.06979369
788,0.06622548
789,0.09960554
790,0.1144873
791,0.08615015
792,0.07306331
793,0.07908195
794,0.07098163
795,0.08141994
796,0.07359204
797,0.07098561
798,0.06751126
799,0.1002113
800,0.1037281
801,0.07912228
802,0.07101275
803,0.07680194
804,0.07011498
805,0.07917123
806,0.07196818
807,0.07141308
808,0.06804714
809,0.1042524
810,0.100102
811,0.07925237
812,0.07090121
813,0.07606173
814,0.07064953
815,0.07975107
816,0.07202816
817,0.06974488
818,0.0662719
819,0.1069183
820,0.09732065
821,0.07822356
822,0.07063353
823,0.07568806
824,0.07287783
825,0.08090781
826,0.0726883
827,0.07039186
828,0.06702664
829,0.111785
830,0.09567123
831,0.0802194
832,0.07424004
833,0.07969135
834,0.07450132
835,0.08152621
836,0.07275994
837,0.06941006
838,0.06607088
839,0.1128895
840,0.09158109
841,0.07571085
842,0.07150974
843,0.07630111
844,0.074389
845,0.08009574
846,0.0726392
847,0.07183712
848,0.06815895
849,0.1182336
850,0.08705936
851,0.07344695
852,0.06931707
853,0.07376231
854,0.07280383
855,0.07668169
856,0.07156798
857,0.07189194
858,0.06855918
859,0.1187263
860,0.08504707
861,0.07166562
862,0.06940657
863,0.07397334
864,0.07291895
865,0.075699
866,0.07066887
867,0.07535917
868,0.07170468
869,0.1275957
870,0.08507617
871,0.07214757
872,0.06992779
873,0.07356709
874,0.07432938
875,0.07569243
876,0.07229614
877,0.07764219
878,0.07360592
879,0.1209486
880,0.08099125
881,0.0707053
882,0.06880371
883,0.07273752
884,0.07443802
885,0.0750946
886,0.07241937
887,0.07807826
888,0.07402127
889,0.1210007
890,0.0813058
891,0.07413448
892,0.07279995
893,0.07581443
894,0.07566687
895,0.07550064
896,0.0720378
897,0.07744231
898,0.07414532
899,0.1157784
900,0.08244134
901,0.07355558
902,0.07308579
903,0.07596716
904,0.07695568
905,0.07577743
906,0.07309956
907,0.07796047
908,0.07374466
909,0.1072921
910,0.07867856
911,0.07050989
912,0.07131283
913,0.07381352
914,0.07674763
915,0.07476257
916,0.07224844
917,0.07791088
918,0.07379794
919,0.1000658
920,0.07626083
921,0.06983452
922,0.07121582
923,0.07328294
924,0.07669232
925,0.07381804
926,0.07188816
927,0.07813489
928,0.07443506
929,0.09516957
930,0.07689476
931,0.07150101
932,0.07312328
933,0.07442421
934,0.07793064
935,0.07407536
936,0.07238389
937,0.07976014
938,0.07587609
939,0.09226793
940,0.07575781
941,0.07083825
942,0.07258917
943,0.0734475
944,0.07799716
945,0.07330389
946,0.07213484
947,0.08033276
948,0.07619861
949,0.08535822
950,0.07592533
951,0.07148941
952,0.07383788
953,0.07416727
954,0.07872064
955,0.07310178
956,0.07256456
957,0.08224417
958,0.07816163
959,0.08264989
960,0.07485692
961,0.0711923
962,0.07354359
963,0.07321357
964,0.0790556
965,0.07259779
966,0.0730949
967,0.08444462
968,0.08027657
969,0.08085964
970,0.07594635
971,0.07190808
972,0.07415509
973,0.07299608
974,0.07855074
975,0.0719376
976,0.07229514
977,0.08428857
978,0.08034208
979,0.07732882
980,0.07668411
981,0.07297724
982,0.07547705
983,0.0742717
984,0.08052466
985,0.07262674
986,0.07395912
987,0.08760412
988,0.08277249
989,0.07654445
990,0.07585479
991,0.07230681
992,0.07449263
993,0.07257728
994,0.07832573
995,0.07022512
996,0.07210971
997,0.08539683
998,0.08131383
999,0.07218417
1000,0.07549591
1001,0.07331865
1002,0.07632437
1003,0.07388197
1004,0.08114047
1005,0.07234132
1006,0.07409692
1007,0.08955052
1008,0.08472237
1009,0.07069454
1010,0.07550239
1011,0.07388044
1012,0.07783209
1013,0.07464235
1014,0.08363996
1015,0.07439455
1016,0.0763646
1017,0.09426884
1018,0.08829722
1019,0.07043451
1020,0.07502967
1021,0.07299108
1022,0.07731391
1023,0.07490281
1024,0.08298899
1025,0.0731487
1026,0.0748809
1027,0.09109231
1028,0.08550958
1029,0.06793248
1030,0.07610694
1031,0.07428402
1032,0.07849458
1033,0.07394273
1034,0.08489146
1035,0.07530097
1036,0.07716863
1037,0.09593651
1038,0.08954161
1039,0.0690935
1040,0.07632043
1041,0.07278539
1042,0.07593836
1043,0.07157726
1044,0.08290947
1045,0.07345512
1046,0.07608999
1047,0.09700221
1048,0.09074706
1049,0.06782032
1050,0.07605559
1051,0.07269531
1052,0.0751213
1053,0.0710234
1054,0.08151443
1055,0.07186192
1056,0.07507521
1057,0.0950813
1058,0.09080684
1059,0.06602655
1060,0.07601006
1061,0.07386957
1062,0.07852903
1063,0.07393738
1064,0.08481006
1065,0.07479656
1066,0.07861846
1067,0.09846548
1068,0.09254595
1069,0.06519036
1070,0.07705158
1071,0.07540532
1072,0.07993691
1073,0.07548598
1074,0.0873456
1075,0.0766019
1076,0.07928111
1077,0.09788188
1078,0.09419932
1079,0.06493376
1080,0.07682318
1081,0.07614889
1082,0.08285977
1083,0.07704221
1084,0.09085862
1085,0.07727581
1086,0.08215555
1087,0.1005768
1088,0.09582283
1089,0.06570223
1090,0.07630072
1091,0.07376038
1092,0.07882212
1093,0.0740564
1094,0.08825564
1095,0.0767784
1096,0.07859673
1097,0.09668576
1098,0.09040287
1099,0.06330953
1100,0.07636473
1101,0.07547926
1102,0.08242539
1103,0.07684752
1104,0.09063511
1105,0.08013216
1106,0.08325542
1107,0.09121909
1108,0.08436549
1109,0.0615047
1110,0.08346849
1111,0.08330609
1112,0.08931375
1113,0.08137177
1114,0.0944981
1115,0.08483005
1116,0.08987758
1117,0.09601548
1118,0.08839358
1119,0.06497081
1120,0.07523165
1121,0.07691786
1122,0.08529225
1123,0.07759606
1124,0.09125782
1125,0.08438195
1126,0.08859153
1127,0.08486743
1128,0.07975207
1129,0.06046582
1130,0.07790248
1131,0.08056723
1132,0.09043575
1133,0.08126161
1134,0.09526899
1135,0.08595873
1136,0.09202098
1137,0.089344
1138,0.08537433
1139,0.06420098
1140,0.07668672
1141,0.07429659
1142,0.08104461
1143,0.07484327
1144,0.0940856
1145,0.0849608
1146,0.09162498
1147,0.08763148
1148,0.0825253
1149,0.06323018
1150,0.07621086
1151,0.07401092
1152,0.07924654
1153,0.07256308
1154,0.08950532
1155,0.08554298
1156,0.08658189
1157,0.07680093
1158,0.07367175
1159,0.06090307
1160,0.07685755
1161,0.07414445
1162,0.07840197
1163,0.07101102
1164,0.09048421
1165,0.08808907
1166,0.08432603
1167,0.0766205
1168,0.07216875
1169,0.06074968
1170,0.07827112
1171,0.07690344
1172,0.08350798
1173,0.07514442
1174,0.0970839
1175,0.09584278
1176,0.09101997
1177,0.07824177
1178,0.07336698
1179,0.0618571
1180,0.07710166
1181,0.07559741
1182,0.08120542
1183,0.0751269
1184,0.0985906
1185,0.09883119
1186,0.09152973
1187,0.07409814
1188,0.07025615
1189,0.0610553
1190,0.07867024
1191,0.07781366
1192,0.08550822
1193,0.07794682
1194,0.1016696
1195,0.09672782
1196,0.09358486
1197,0.07200243
1198,0.0680356
1199,0.06118927
1200,0.07868423
1201,0.07787321
1202,0.08483283
1203,0.07705341
1204,0.1040396
1205,0.09002272
1206,0.08931489
1207,0.06938417
1208,0.06565949
1209,0.06049177
1210,0.07737723
1211,0.0739334
1212,0.07863527
1213,0.07378595
1214,0.1020651
1215,0.09468956
1216,0.08692099
1217,0.06776605
1218,0.06407209
1219,0.06080888
1220,0.07656172
1221,0.07318914
1222,0.07841584
1223,0.07403699
1224,0.1045626
1225,0.08525427
1226,0.08130879
1227,0.06474636
1228,0.06188544
1229,0.06003217
1230,0.07679075
1231,0.07342779
1232,0.0781984
1233,0.07424811
1234,0.1108686
1235,0.08907699
1236,0.07909749
1237,0.0619546
1238,0.05950341
1239,0.05959536
1240,0.0778942
1241,0.0741897
1242,0.0792146
1243,0.07509794
1244,0.1120789
1245,0.09078781
1246,0.07442342
1247,0.0634638
1248,0.0605724
1249,0.06028507
1250,0.07717512
1251,0.07534926
1252,0.0837649
1253,0.07983876
1254,0.1283622
1255,0.09931249
1256,0.07353123
1257,0.06816309
1258,0.06455689
1259,0.05989845
1260,0.07597592
1261,0.07261571
1262,0.08116157
1263,0.07841218
1264,0.1282069
1265,0.1012839
1266,0.06873546
1267,0.06246689
1268,0.05990838
1269,0.05936002
1270,0.07906966
1271,0.07768605
1272,0.08788306
1273,0.08399167
1274,0.1359394
1275,0.1034442
1276,0.07293314
1277,0.0695741
1278,0.06608126
1279,0.05984461
1280,0.07638337
1281,0.07435916
1282,0.08674982
1283,0.08584477
1284,0.1666657
1285,0.1058306
1286,0.07131138
1287,0.07214524
1288,0.0673636
1289,0.0602681
1290,0.07717582
1291,0.0785972
1292,0.09159424
1293,0.09040963
1294,0.1896897
1295,0.1013587
1296,0.06695369
1297,0.06531607
1298,0.06185138
1299,0.06118345
1300,0.0822936
1301,0.08089181
1302,0.09219742
1303,0.0930557
1304,0.1964893
1305,0.09388997
1306,0.06684068
1307,0.0667974
1308,0.06421056
1309,0.06230661
1310,0.0795529
1311,0.07795753
1312,0.09125433
1313,0.0939644
1314,0.1930399
1315,0.08620463
1316,0.0561683
1317,0.05716617
1318,0.05489888
1319,0.06286248
1320,0.08439827
1321,0.08173338
1322,0.09039341
1323,0.09585431
1324,0.1608531
1325,0.08272278
1326,0.05313103
1327,0.05320104
1328,0.05097922
1329,0.06387002
1330,0.0842309
1331,0.08131196
1332,0.09362686
1333,0.09927326
1334,0.1695714
1335,0.07679354
1336,0.05344438
1337,0.05837773
1338,0.05591486
1339,0.06122911
1340,0.08168868
1341,0.0788103
1342,0.09186296
1343,0.09993431
1344,0.1556783
1345,0.07400971
1346,0.05041942
1347,0.05542523
1348,0.05335121
1349,0.06144942
1350,0.0821394
1351,0.07999575
1352,0.09310386
1353,0.1037404
1354,0.1405567
1355,0.07445333
1356,0.05218297
1357,0.05817464
1358,0.05567864
1359,0.06121352
1360,0.08526504
1361,0.08258934
1362,0.1000966
1363,0.1122948
1364,0.1348984
1365,0.06977735
1366,0.05043695
1367,0.05594361
1368,0.05379962
1369,0.06221972
1370,0.08260065
1371,0.08118825
1372,0.09791888
1373,0.1156871
1374,0.1197531
1375,0.07138515
1376,0.05442734
1377,0.05973357
1378,0.05685112
1379,0.05986497
1380,0.07982855
1381,0.07899413
1382,0.09498166
1383,0.1187467
1384,0.1119162
1385,0.07166009
1386,0.05318801
1387,0.05647328
1388,0.05445961
1389,0.06160529
1390,0.08475271
1391,0.08238646
1392,0.100269
1393,0.1299303
1394,0.1058587
1395,0.08050152
1396,0.0587925
1397,0.06017027
1398,0.05778578
1399,0.06229746
1400,0.08437257
1401,0.08225188
1402,0.104353
1403,0.1399631
1404,0.1001728
1405,0.08181155
1406,0.05735342
1407,0.05596199
1408,0.05419747
1409,0.06611994
1410,0.08742696
1411,0.08686057
1412,0.1108322
1413,0.1596577
1414,0.1004814
1415,0.08526011
1416,0.06504224
1417,0.06300855
1418,0.06058773
1419,0.06071784
1420,0.0832853
1421,0.08476535
1422,0.1114372
1423,0.1650144
1424,0.09518009
1425,0.08597178
1426,0.06371199
1427,0.06140125
1428,0.05968798
1429,0.0578932
1430,0.08176436
1431,0.08278284
1432,0.1134471
1433,0.1694681
1434,0.09576453
1435,0.08653469
1436,0.07082367
1437,0.07143948
1438,0.06653937
1439,0.0549013
1440,0.07327278
1441,0.07658037
1442,0.1075566
1443,0.1661749
1444,0.08767384
1445,0.08238167
1446,0.06550948
1447,0.06506789
1448,0.06238383
1449,0.05287061
1450,0.07430632
1451,0.0752829
1452,0.1095577
1453,0.1608666
1454,0.08421149
1455,0.07930759
1456,0.06769004
1457,0.07188081
1458,0.06834795
1459,0.05397388
